time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1,41,2,120,,,,,,,,,,,,
2,69,3,240,0.0001,737.2000122070312,10,1413.5223876953125,0.00041865045,0.2,0.0,-0.007042496665962972,-1.386139267683029,0.006405293941497803,,
3,94,3,360,0.0001,4021.349609375,20,4330.770190429687,2.5405881e-05,0.2,0.0,-0.0015394597168779,-1.3862530410289764,0.0016652345657348633,,
4,114,4,480,0.0001,-2.4293665774166584e-05,30,4.867477824745947e-05,5.835401e-07,0.2,0.0,-3.753956431182814e-05,-1.3862919986248017,0.0,,
5,131,4,600,0.0001,-0.0002853814803529531,40,2.778797176894443e-06,1.471157e-06,0.2,0.0,-0.00011951107817367301,-1.3862905383110047,0.0,,
6,113,6,720,0.0001,4.6198889322113246e-05,50,7.013746285977618e-08,6.49664e-07,0.2,0.0,6.223390391824068e-06,-1.3862888038158416,0.0,0.0,667.0
7,107,7,840,0.0001,94.79377746582031,60,235.66832008361817,0.00063817215,0.2,0.0,-0.0060664208394882735,-1.3853622913360595,0.011253952980041504,0.0,667.0
8,117,8,960,0.0001,4414.18212890625,70,10569.75185546875,0.00022731815,0.2,0.0,-0.0010368288661993575,-1.3824965834617615,5.0902366638183594e-05,0.0,667.0
9,126,8,1080,0.0001,-0.0006708459695801139,80,0.0012224686142872088,3.84889e-06,0.2,0.0,-0.00019086077070369357,-1.386285811662674,-1.1920928955078125e-07,0.0,667.0
10,134,8,1200,0.0001,-0.0004839938192162663,90,0.00021091186981720967,2.8567656e-06,0.2,0.0,-0.00017856942272374,-1.386284726858139,5.960464477539063e-08,0.0,667.0
11,142,9,1320,0.0001,-0.00034315892844460905,100,2.285995751662995e-05,2.1180936e-06,0.2,0.0,-0.0001063877451542794,-1.3862907767295838,0.0,0.0,667.0
12,118,12,1440,0.0001,-0.000667552521917969,110,1.917151362107461e-06,1.934357e-06,0.2,0.0,-0.00010429430569729448,-1.3862903654575347,0.0,0.0,667.0
13,118,13,1560,0.0001,644.8861083984375,120,1356.197250366211,1.5185947e-05,0.2,0.0,-0.0005692749951776932,-1.381423181295395,0.013067066669464111,0.0,667.0
14,124,13,1680,0.0001,3011.721923828125,130,3489.5330657958984,2.2643579e-05,0.2,0.0,-0.0010932640958344563,-1.3853627502918244,0.006106317043304443,0.0,667.0
15,129,13,1800,0.0001,-0.00023913882614579052,140,2.6678350968722954e-05,4.31668e-07,0.2,0.0,-3.840708432107931e-05,-1.386291152238846,0.0,0.0,667.0
16,134,14,1920,0.0001,-0.0005925911827944219,150,1.1513683009667374e-06,6.726411e-06,0.2,0.0,-0.0003472665337540093,-1.3862833440303803,0.0,0.0,667.0
17,128,15,2040,0.0001,-0.00019220325339119881,160,4.4626396822344815e-08,8.0869395e-06,0.2,0.0,-0.00019281614895589884,-1.3862575829029082,0.0,0.0,667.0
18,122,17,2160,0.0001,80.93032836914062,170,189.1343765258789,0.00027134124,0.2,0.0,-0.0042670364034165685,-1.3821673154830934,0.03373265266418457,0.0,667.0
19,126,18,2280,0.0001,1816.4603271484375,180,3540.4332763671873,9.679388e-05,0.2,0.0,-0.002525344108289573,-1.3763692200183868,0.016769886016845703,0.0,667.0
20,130,18,2400,0.0001,-0.0011285196524113417,190,0.001094521436971263,8.5593865e-06,0.2,0.0,-0.00029709647452875744,-1.3862262666225433,0.0,0.0,667.0
